intersection,cohort,stratum_type,stratum,n,r2,mae,rmse,bias,nonfinite_rate
I1,deduplicated,all,all,750.0,0.9623698476632475,1.3664849684969405,1.8691454752852985,-0.07310880725266267,0.0
I1,strict_no_near_le_0.02,all,all,749.0,0.9623513574280784,1.367329593570283,1.870200596888023,-0.07222662837240809,0.0
I1,strict_no_near_le_0.02,saturation,x_lt_0.85,0.0,,,,,1.0
I1,strict_no_near_le_0.02,saturation,0.85_le_x_lt_1.00,0.0,,,,,1.0
I1,strict_no_near_le_0.02,saturation,x_ge_1.00,749.0,0.9623513574280784,1.367329593570283,1.870200596888023,-0.07222662837240809,0.0
I1,strict_no_near_le_0.02,timing_visibility_vs_train,seen,391.0,0.9363401396817942,1.0570031675650888,1.3447239161528948,-0.2255068511129858,0.0
I1,strict_no_near_le_0.02,timing_visibility_vs_train,unseen,358.0,0.9492760766815044,1.706261528117855,2.3114372125847202,0.09518277691129545,0.0
I2,deduplicated,all,all,750.0,0.9306836840134683,2.1592793681727835,3.139867112007959,0.18909740072027373,0.0
I2,strict_no_near_le_0.02,all,all,749.0,0.9306799718710181,2.160286646001535,3.141543115831214,0.18747426203707285,0.0
I2,strict_no_near_le_0.02,saturation,x_lt_0.85,0.0,,,,,1.0
I2,strict_no_near_le_0.02,saturation,0.85_le_x_lt_1.00,1.0,,0.39111606082445505,0.39111606082445505,-0.39111606082445505,0.0
I2,strict_no_near_le_0.02,saturation,x_ge_1.00,748.0,0.9306153401767282,2.1626518473186165,3.143609849056628,0.1882477785114866,0.0
I2,strict_no_near_le_0.02,timing_visibility_vs_train,seen,382.0,0.8719258775838777,1.6224211167867633,2.037851304308303,0.11425014812405886,0.0
I2,strict_no_near_le_0.02,timing_visibility_vs_train,unseen,367.0,0.9122261786513807,2.7201357799526056,3.977359795430037,0.26369118714544165,0.0
I3,deduplicated,all,all,521.0,0.9146369752700678,1.780357997168251,2.328861608080787,-0.1507689781147068,0.0
I3,strict_no_near_le_0.02,all,all,521.0,0.9146369752700678,1.780357997168251,2.328861608080787,-0.1507689781147068,0.0
I3,strict_no_near_le_0.02,saturation,x_lt_0.85,4.0,-1.2846128776187173,1.364242646174393,1.8949133658789756,-1.364242646174393,0.0
I3,strict_no_near_le_0.02,saturation,0.85_le_x_lt_1.00,3.0,-5.774528520081666,1.1465885584238318,1.365996988828434,-1.1465885584238318,0.0
I3,strict_no_near_le_0.02,saturation,x_ge_1.00,514.0,0.9131929231561057,1.7872952923437544,2.3363699807118503,-0.13551342672722408,0.0
I3,strict_no_near_le_0.02,timing_visibility_vs_train,seen,329.0,0.9313290170301755,1.554134274054291,2.047142229211761,-0.06593221677545492,0.0
I3,strict_no_near_le_0.02,timing_visibility_vs_train,unseen,192.0,0.8770603731307243,2.168001772712485,2.745188384453987,-0.29614030353457066,0.0
I4,deduplicated,all,all,749.0,0.9405718550938427,0.5698248050701903,0.8568852587752402,0.06538817010290189,0.0
I4,strict_no_near_le_0.02,all,all,749.0,0.9405718550938427,0.5698248050701903,0.8568852587752402,0.06538817010290189,0.0
I4,strict_no_near_le_0.02,saturation,x_lt_0.85,45.0,0.8352400987475579,0.7771764731198747,0.9459771655496524,-0.58039749544023,0.0
I4,strict_no_near_le_0.02,saturation,0.85_le_x_lt_1.00,26.0,0.8846306166938265,0.4989151592703772,0.6416429548297994,-0.02297527346139652,0.0
I4,strict_no_near_le_0.02,saturation,x_ge_1.00,678.0,0.9410797377402809,0.5587817751713102,0.8578815439560094,0.1116386191915637,0.0
I4,strict_no_near_le_0.02,timing_visibility_vs_train,seen,660.0,0.9343285682012853,0.5167543804106668,0.7345233929317315,0.08634293708535846,0.0
I4,strict_no_near_le_0.02,timing_visibility_vs_train,unseen,89.0,0.9265437268336969,0.9633807632194656,1.475906736871217,-0.09000673111531532,0.0
I5,deduplicated,all,all,433.0,0.9058718749302547,2.2895589507583103,3.1935394499236955,-0.17214392260712552,0.0
I5,strict_no_near_le_0.02,all,all,433.0,0.9058718749302547,2.2895589507583103,3.1935394499236955,-0.17214392260712552,0.0
I5,strict_no_near_le_0.02,saturation,x_lt_0.85,6.0,0.23903884558933486,1.4860148970350966,1.7307791196099152,-0.592605302793943,0.0
I5,strict_no_near_le_0.02,saturation,0.85_le_x_lt_1.00,7.0,-0.35492319570672226,2.0040239252613143,2.855122759331095,1.1194628297230884,0.0
I5,strict_no_near_le_0.02,saturation,x_ge_1.00,420.0,0.9039337339949561,2.305797068617401,3.2149201784238906,-0.18766411066710315,0.0
I5,strict_no_near_le_0.02,timing_visibility_vs_train,seen,341.0,0.9007271264751052,2.257168381250633,3.2168708682504854,-0.07347612357349993,0.0
I5,strict_no_near_le_0.02,timing_visibility_vs_train,unseen,92.0,0.9066671009940551,2.409615300781331,3.1055325036734795,-0.5378582646774117,0.0
I6,deduplicated,all,all,742.0,0.9434943887367261,0.39353572189621644,0.5853737657983042,0.07321246252339887,0.0
I6,strict_no_near_le_0.02,all,all,739.0,0.9436537684854834,0.3932620843726831,0.5855541538592489,0.0731244834869714,0.0
I6,strict_no_near_le_0.02,saturation,x_lt_0.85,138.0,0.8691758608615594,0.5458009218748437,0.7041091850325261,0.23153372075211098,0.0
I6,strict_no_near_le_0.02,saturation,0.85_le_x_lt_1.00,66.0,0.9613679553002521,0.32384532881047495,0.3992871434245281,0.09113487409011678,0.0
I6,strict_no_near_le_0.02,saturation,x_ge_1.00,535.0,0.9499718354317427,0.3624791802452206,0.5710214172503738,0.03004194045445391,0.0
I6,strict_no_near_le_0.02,timing_visibility_vs_train,seen,735.0,0.9506700659158119,0.3782134108790494,0.5121164935881295,0.0907113151730386,0.0
I6,strict_no_near_le_0.02,timing_visibility_vs_train,unseen,4.0,0.2602673646231367,3.1584558388278747,3.8929459371910826,-3.1584558388278747,0.0
Pooled-I1-I6,deduplicated,all,all,3945.0,0.9769391896258851,1.3389280302534512,2.139630967700456,0.00943013323536024,0.0
Pooled-I1-I6,strict_no_near_le_0.02,all,all,3940.0,0.976915155146474,1.3397333921297676,2.1407875813437713,0.00919955691170853,0.0
Pooled-I1-I6,strict_no_near_le_0.02,saturation,0.85_le_x_lt_1.00,103.0,0.9522541237327294,0.506841117043168,0.90328225286804,0.09148449176618512,0.0
Pooled-I1-I6,strict_no_near_le_0.02,saturation,x_ge_1.00,3644.0,0.9744481255428742,1.400021515219486,2.212121461714618,0.00823331169393382,0.0
Pooled-I1-I6,strict_no_near_le_0.02,saturation,x_lt_0.85,193.0,0.9457414544316226,0.6459405620519739,0.8548001173927927,-0.016470654054301873,0.0
Pooled-I1-I6,strict_no_near_le_0.02,timing_visibility_vs_train,unseen,1102.0,0.9487560221308234,2.1283549161736133,3.0582827519632363,0.003506151327664985,0.0
Pooled-I1-I6,strict_no_near_le_0.02,timing_visibility_vs_train,seen,2838.0,0.977696052698826,1.033510376098648,1.652490663883605,0.011410315528204668,0.0
