scope,aggregation,n,n_intersections,n_timing_plans,r2,r2_ci_low,r2_ci_high,rmse,rmse_ci_low,rmse_ci_high,mae,mae_ci_low,mae_ci_high,bias,bias_ci_low,bias_ci_high
I1,intersection,749,1,532,0.9623513574280784,0.9571384714247296,0.9671191413787317,1.8702005968880229,1.7232082683927663,2.026471156627554,1.367329593570283,1.2743781259172426,1.4645168874770844,-0.07222662837240804,-0.22493125769910385,0.06796478616631904
I2,intersection,748,1,530,0.9306153401767282,0.9144761009954022,0.9440699953091732,3.143609849056628,2.7246429654695046,3.6537551235873322,2.1626518473186165,2.0033317092503924,2.3440890050372833,0.1882477785114866,-0.06572001296410243,0.43413950392239076
I3,intersection,514,1,352,0.9131929231561057,0.8968867042201305,0.926920116890245,2.3363699807118508,2.163681758564114,2.5107650868577682,1.7872952923437546,1.6444029930034076,1.9380171432936446,-0.1355134267272242,-0.3472830109323812,0.06643548480849347
I4,intersection,678,1,165,0.9410797377402809,0.9248653304950725,0.9535238135632544,0.8578815439560094,0.7272511293118582,1.0133686773657085,0.5587817751713103,0.5023916173412913,0.6328759062858262,0.11163861919156372,0.03953153657643494,0.1933642116473155
I5,intersection,420,1,252,0.9039337339949561,0.8814218857211616,0.9220633370755968,3.2149201784238906,2.8468894663140962,3.6101644326548072,2.305797068617401,2.0526639197188707,2.5870406074232126,-0.18766411066710317,-0.5435718839923034,0.1690648710660892
I6,intersection,535,1,47,0.9499718354317427,0.9275059146360917,0.9646555864918233,0.5710214172503739,0.45174966927576726,0.7256228374130801,0.3624791802452207,0.3225602592445149,0.4174599504443096,0.030041940454453853,-0.07830423370850696,0.13134954694400483
Macro-I1-I6,unweighted mean of six intersection metrics,3644,6,1878,0.9335241546546488,0.9263031416584818,0.9389916559541562,1.9990005943811295,1.8867179535274512,2.1136347684245544,1.4240557928777642,1.363895105978355,1.486113778100198,-0.01091263793487187,-0.1013342158067858,0.0770347238713712
Pooled-I1-I6,pooled rows; bootstrap stratified by intersection and timing plan,3644,6,1878,0.9744481255428742,0.9703564217146099,0.9782061022942474,2.212121461714618,2.042610189772281,2.384965441725712,1.400021515219486,1.3111263859551323,1.4871668445902766,0.008233311693933813,-0.0711838167491084,0.08650566034455565
Pooled-unseen-timing,pooled subgroup,1085,6,950,0.9466914264386845,0.936714210449981,0.9552526187660378,3.0759684462469465,2.7734492093855856,3.4300774003112706,2.1423076945281734,2.0179253791777283,2.271406026128744,0.01273969180218717,-0.1808721509476447,0.1867183425648479
Pooled-seen-timing,pooled subgroup,2559,6,928,0.9750964977459451,0.9704053792285987,0.9789264156602483,1.719486929956132,1.5813298572084284,1.8590232046165083,1.0852968162941536,1.0065568556914382,1.1721619539394164,0.006322634703916245,-0.07785451481469617,0.08761498742561774
Pooled-moderate-oversaturation,pooled subgroup,411,6,233,0.9822102348631107,0.9773283997574781,0.9862625211357894,1.318862532277973,1.1523695664320086,1.4902135748597642,0.8368879231644445,0.729655543397768,0.9516883237281905,0.07615416493971504,-0.06684420402997347,0.2305685088837399
Pooled-severe-oversaturation,pooled subgroup,3233,6,1808,0.9720326651689889,0.9676330975893518,0.9759552137079894,2.3009669525026566,2.1351463673916604,2.4851379035326513,1.4716107222515376,1.385799149305108,1.5609865069920685,-0.00040122919193569554,-0.0869745867656306,0.0847751714370406
