intersection_id,split,path,exists,bytes,sha256,line_count,valid_record_count,invalid_record_count,strict_json_pass,schema_pass,source_status,license_status,sumo_generation_settings_status
1,train,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_1_Train.jsonl,True,687698,69d0e324960d08509bd87b4df7fac5bbb8c611bf6c5cffc0fbe63ba19c705d56,1251,1251,0,True,True,unknown,unknown,unknown
1,test,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_1_Test.jsonl,True,276493,dde4a7ac552e5defe5549f7f054745393badad8d16f3aa2191359c5e5e30e077,503,503,0,True,True,unknown,unknown,unknown
2,train,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_2_Train.jsonl,True,686998,395d60cec52fa13bc054aecaffb64cef1e293f4458e9d57b7263b8b2ea592b25,1250,1250,0,True,True,unknown,unknown,unknown
2,test,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_2_Test.jsonl,True,276474,594bc42f16be55e98da050b0fffb5d9095f3b7097c39c67758db89b9c9974505,503,503,0,True,True,unknown,unknown,unknown
3,train,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_3_Train.jsonl,True,666761,d669f3fdb33ebae558992517197ce45c54e13c3c93728767e53640f42d0c7055,1218,1218,0,True,True,unknown,unknown,unknown
3,test,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_3_Test.jsonl,True,239805,26b9a44df8746a9cf4d69d214a38637d5efb507a7ee2e2793fd515a55685f5d5,438,438,0,True,True,unknown,unknown,unknown
4,train,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_4_Train.jsonl,True,676092,5da89836ba34777336100c8fed5cf5e8f92c3a37f9f0b667362abb72b047df22,1251,1251,0,True,True,unknown,unknown,unknown
4,test,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_4_Test.jsonl,True,270783,ffb3ef20a7d3c451d681ef40eb3ec01e7edafb91db7a62776c66c45fb41b8161,501,501,0,True,True,unknown,unknown,unknown
5,train,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_5_Train.jsonl,True,657246,d7886967bf5c1157e844931aa97086be541bffd7774120da61a3e81e1a0bc731,1206,1206,0,True,True,unknown,unknown,unknown
5,test,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_5_Test.jsonl,True,224538,f424c4178bda7f480e748004d2592fcb0a26fd404dd5bc097dad05ae7ffa6b08,412,412,0,True,True,unknown,unknown,unknown
6,train,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_6_Train.jsonl,True,669240,09044495f83a4729dbb4c591dca2df7af42a76d10732ebfbef8bf251709378a6,1245,1245,0,True,True,unknown,unknown,unknown
6,test,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_6_Test.jsonl,True,266595,058ef55e31d87b4b316fe5c3366dcc02da5851ac4904c00f714a05bc62172d0f,496,496,0,True,True,unknown,unknown,unknown
7,train,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_7_Train.jsonl,True,686997,e23ffc78a8bbf9430202bf416ffe9ac2d376db4ead2d783db9a8bee9b608fe40,1250,1250,0,True,True,unknown,unknown,unknown
7,test,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_7_Test.jsonl,True,276469,522c3c7a0a10baf6dfab69ead0bc73b35726bc8e67cd7859bcc109b9b68d6c86,503,503,0,True,True,unknown,unknown,unknown
8,train,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_8_Train.jsonl,True,686995,a6edb7eed48c0915c86b9bce925fa161dd1dafcfbbb2e9252796b00c14f9065a,1250,1250,0,True,True,unknown,unknown,unknown
8,test,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_8_Test.jsonl,True,276469,6e1dc02c7ece69acce0da43722da2cb8cf0b6fa7f8e83e11c3bf0b6df0c720db,503,503,0,True,True,unknown,unknown,unknown
9,train,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_9_Train.jsonl,True,276552,d05b897363a5696194eac4e6dc4a8f3d5bc470536fe04a795c91c519a838c06e,503,503,0,True,True,unknown,unknown,unknown
9,test,Z:\CoSydelay\Paper_SM_traffic_delay\Final_cosy_delay\jsonl_files\Intersection_9_Test.jsonl,True,136300,4bdd5a800e6bbe7044d8472a23114b580048df3094f74f1d85e238135a027c15,248,248,0,True,True,unknown,unknown,unknown
